genre,file,status,notes,duration_seconds
pop,015.mid,ok,916,263.7931034482759
pop,016.mid,ok,841,258.85714285714283
pop,017.mid,ok,605,216.33802816901408
pop,018.mid,ok,577,204.7183098591549
pop,019.mid,ok,748,225.9016393442623
pop,020.mid,ok,1473,274.8557692307692
pop,021.mid,ok,808,234.4736842105263
pop,022.mid,ok,914,270.6428571428571
pop,023.mid,ok,1097,276.4166666666667
pop,024.mid,ok,801,213.18181818181816
pop,025.mid,ok,1463,377.0161290322581
rock,AHumanBody.mid,ok,952,218.4
rock,AllGodsPeople.mid,ok,675,247.91208791208788
rock,AnotherOneBitesTheDust.mid,ok,651,168.25
rock,BohemianRhapsody.mid,ok,956,525.7638888888888
rock,BringItOnHome.mid,ok,1195,212.625
rock,BronYrAur.mid,ok,624,111.80232558139535
rock,Clocks.mid,ok,1338,305.9541984732824
rock,CommunicationBreakdown.mid,ok,902,159.25714285714287
rock,Creep.mid,ok,788,229.6774193548387
rock,DazedAndConfused.mid,ok,1439,532.5
rock,DontStopMeNow.mid,ok,816,320.47872340425533
rock,Everglow.mid,ok,1465,276.23287671232873
rock,GreenEyes.mid,ok,697,213.75
rock,Heartbreaker.mid,ok,1056,285.78125
rock,HotelCalifornia.mid,ok,1540,388.7837837837838
rock,InTheEvening.mid,ok,2149,383.0
rock,SmellsLikeTeenSpirit.mid,ok,1452,300.52631578947364
rock,VivaLaVida.mid,ok,857,238.7142857142857
rock,WeAreTheChampions.mid,ok,426,177.09677419354838
rock,WeWillRockYou.mid,ok,333,119.26829268292683
rock,Wonderwall.mid,ok,1107,223.6363636363636
rock,Yellow.mid,ok,789,259.09090909090907
